Star,review_title,text_review,apps_category,review_length
5.0 out of 5 stars,Very Nice,"The graphics are lovely and the play smooth.  I am giving it 5 stars because the matching is pretty much what I like in a match game and the town building a nice touch, however I would much prefer a buy option for the game than in app purchasing. So far I only ran into one instance of having to buy, but it does not seem I cannot progress without it. If that becomes different I will probably stop playing. I do not mind paying for a game but I dislike being forced into app purchases.As for the energy others mentioned, if you just go do something else for a while it does regenerate on its own.",game,117
3.0 out of 5 stars,Don't download unless you are willing to spend serious money,"The game is great when getting though the matching process but like most games of this nature players are nickel and dime to death to keep progressing.  I was very sad,  I truly enjoyed the game until I recognized exactly how much it was costing me.  I wish Amazon would bring back the underground",game,54
3.0 out of 5 stars,Fun but quirky game,"This is a decent match-3 game. Good graphics, enjoyable music, and an interesting storyline. Sometimes it gets a bit buggy. Loading errors are common. It can take multiple wins on a given screen to actually gain the prize you are supposed to receive for completion, so be prepared to grind. Sometimes you get items before you even have a quest for them, which can be frustrating, because when you get the quest you'll have to repeat the level and win it again, and like I said you don't often get it on the first try.",game,95
5.0 out of 5 stars,Good game!,"Fun game! Lots of good puzzles. I wish that there was a set of instructions and rules available somewhere. I am an older player and didn't realize that to earn wood, I needed to go to the hut puzzles. Young people seem to know that this information, but older folks are clueless. More info would increase our enjoyment and reduce frustration.",game,61
1.0 out of 5 stars,NOT FOR ME!,"I love Awem developers and the Cradle games, but this one I wasn't fond of at all.  I wish it was  PC computer compatible instead of having to play it on my Kindle Fire.  I was not able to find a way out of the game without turning everything off.  There was no ""exit"" anywhere that I could see.  Also, when you close the game,  your progress is not saved.",game,70
3.0 out of 5 stars,Fun and challenging.,"Can't play long enough without purchasing gems.  Also once you get the three stars you shouls win the artifact.  Some levels you need to play numerous tims tp getting the required artifact.  Need to build ship, but you have to play so many times it ends up being ridiculous.  I have had 5 ready to complete but can't get the missing easily unless you buy.",game,65
3.0 out of 5 stars,More time faster time,I really love this game but there is not enough time. It takes so long for the time to count back up. Then time is up and I have to wait forever for it to refill . Plus evertim e I start my game is says there is an error.It is kinda long and monotonous too. Otherwise it can be fun.,game,61
4.0 out of 5 stars,Great time passer...,"This game is a great way to pass time but I find some of it confusing.  The use of some items in the inventory for example, otherwise it's fun and different from most of the other games out there. Its a combination of games like candy crush and others where you build your own city. Overall, a great way to pass time!",game,62
4.0 out of 5 stars,New and Different,"I have really enjoyed this game, this is a nice change of pace with match 3, building, and adventure in one game. The main problem is running out of energy after completing a few levels and you having to purchase the resources if you  want to continue on. That's the main reason for not rating it higher.",game,57
3.0 out of 5 stars,"So far, so-so","Decent graphics, and so far, Lvl 10, no timed boards. I play to relax, and I hate timed boards. Negative note, there is already a task FORCING me to buy game tokens with real money. NO. This was advertised as a FREE game. I will no be spending money on the game and will delete if these things continue. Also, the game is slow to replace energy, though I don't understand why there is an energy requirement anyway. Shouldn't the devs WANT people to get hooked and play long sessions. Again, if this becomes too annoying, I will delete.",game,99
1.0 out of 5 stars,Another chest game,They trail you along you make a purchase them they hold you at one thing after after you use up the stupid gem they use for moneyTell me after doing the puzzle 9 time and always ending up with just one piece to win  sort of becomes like it's planned that way of course if o oh I'd by more green gelato oH my way out  come on you molesters if your going to cheat your customers doing more sneaky then haveingbthennhangv9 times in a row needing only 1 file left on the same game9 times this gAme is not even half fun,game,103
3.0 out of 5 stars,Totally addictive and completely frustrating!,"I have also been playing for over a year and I get so mad that you have to go through a level a million times before getting the items to complete collections. Somehow I still love the game. I think I persist because I just won't let it beat me and I really curious to see what's coming up next. Please, please fix this issue before it becomes a lost cause.",game,71
4.0 out of 5 stars,Interesting....,The game concept is good and addictyive.....the only issue I am having is with thgthge mechanics....I find I have to press really hard or repeatedly to advance....I don't knoiknoiw if it is the game or my Fire Tablet....but I do not seem to have this issue with any other game/app.,game,50
4.0 out of 5 stars,Love it! BUT..,"I HATE that more than 90% of the time you DON'T win/find the object you're after. I have finished an entire building looking for one item, salt shaker recently, and NEVER get one. IMO, a ploy to make people spend money to buy the items. Don't mind that occasionally, but also the prices for those items are ridiculous!Overall I love the game and will keep playing, at least for a while.",game,71
2.0 out of 5 stars,Causing sleeplessness??,"I've been playing this game for about 9 months.  Thought it was fun so kept playing.  I refuse to pay actual money for the gems so reading the reviews inspired me to quit this game as the farther along you go, the more you'll need to pay actual money to continue.  But my biggest concern is my inability to shut down my brain when I go to bed.  I see the moves jumping around in my head and have a really hard time falling asleep.  I bought blue-light reducing glasses to help with this problem but didn't appear to help much.  So I decided to quit playing the game.  It's been about 2 weeks now that I haven't played the game, and I am finally able to fall asleep the way I used to prior to playing this game.  I'm wondering if it's all similar games and not just Cradle of Empires.  Anyone else having this problem?  My sleep is more important than playing a game so no more games for me.  I'm going to go to the library and loan out actual books instead.",game,185
5.0 out of 5 stars,Empire,I have to say I am totally surprised by how much fun I have playing this game! It's not so easy that you get bored and it does have some challenges to it. I play it until I'm completely out of energy. I recommend this game to anyone who wants to have fun playing a game you can enjoy... I'm editing my review because with all of the new things that they have added now the game really is FUN.....,game,80
5.0 out of 5 stars,Fun Game for free,Great game that is free and good to pass time. If you are patient and allow your energy to refill in its own time. This is a different take on a match three game. You see hidden object games in this style but this is the first match three of this type I have found and I hope to see more.,game,61
5.0 out of 5 stars,Lots of variety to the puzzles,"I like the variety of the puzzles. You can pretty much relax and play the game however you want, regarding if you want to actively build up the city and get new puzzles or not. I find it rather relaxing (except for the timed puzzles). It did take me awhile to build the ship, but I admit I wasn't trying very hard. There are different events that happen where you can spend your resources to play instead of energy. I've never been able to actually complete an event yet, but they are a nice diversion. I actually like having a limit on my energy, or I might spend more time playing the game and not getting anything done in real life! It can be a challenge with a bit of luck involved with how the pieces dropped, but it's not as difficult as Homescapes and overall much more enjoyable!",game,149
5.0 out of 5 stars,"this game is fun,but......","This game is very easy to build a town, it is very challenging,with the puzzles that you have to complete as you climb up the levels,just like most games,they do get tougher.I enjoy it so much,that I play this before Fashion Story AND after pUzzles and DRAGONS.  NEED TO LET THE LEVELS LAST LONGER, and STOP making it where every level of a puzzle,it runs out to fast where you use all your gems, and then u have to buy more just to get OUT OF THAT LEVEL.  THATS NOT REALLY FUN OR FAIRIF THINGS ARENT FIXED LIKE THAT,I WILL UNI STALL THIS GAMEIM NOT GOING TO KEEP SPENDING MY MONEY ON. GEMS..SO NOT COOL... IM JUST SAYING FOR THE YOU G KIDS THAT PLAY THIS GAME, ITS TOO EASY TO GRAB A CREDIT CARD FROM PARENTS AND SPEND MONEY ON GEMSN THINGSOTHER THAN THAT, I GIVE THE GAME LAYOUT 5stars.Thankyou and good day",game,154
3.0 out of 5 stars,Kept expecting more,"At first it seemed unique and it is in a way but i kept expecting something more to happen. However, after playing for a few days i found myself bored. Games tgat have been around forever like candy crush which appear to have far less to them, held my interest longer. Cant really explain what it needs but it needs something. Also, the loading times for levels are terrible.",game,69
1.0 out of 5 stars,Nothing is ever free play.,For a while I thought I had found a game where you could actually play for free and get some progression. Silly me.  Had a five day event where you earned crystals and if you reached 160 you'd get to keep however many you earned. Reached 160 two days before end of event and game said I could pay $11.99 to get the bank early. Event ended late last night so logged in today and got a message I could buy the 200+ crystals I had earned for $11.99. Slick. Obviously this is only going to get worse.,game,98
5.0 out of 5 stars,Frustrating annoying challenging fun,I've had the game for a while and until recently my main complaint was that it didn't update enough so the game didn't grow. I no longer have that complaint so I can now honestly give the game 5 stars. Another reviewer complained that it is hard to earn all five items to complete a collection. I agree but I find that most of my problems are more due to my not searching for the collection items in the order recommended by the game. I've been more concerned with earning the rewards that comes from collecting all the stars within a house than  collecting collection items. But I think that that's the beauty of this game. You see because each person has a different strategy for working the game every person ends up playing a different version of the game. It's frustrating when I'm close but don't complete the puzzles correctly. I hate using the outside aids. But when one puzzle annoys me I either try another puzzle or another house. The games a great indicator of how I'm feeling during a day also. If I keep making careless mistake it means my concentration is shot. I truly enjoy the challenges this game provides.,game,204
3.0 out of 5 stars,Not for me,"Now, this is not a game that I would personally play again.  I am legally blind and wanted something easy and easy to follow.  Trying to follow the graphics when pops ups happen all over the screen is difficult for me, and I also felt like I was missing something as well.  So I stopped playing.I am sure other people might enjoy and have some fun with it, but I just didn't.""",game,72
4.0 out of 5 stars,Don't reinstall if crashing,Game is crashing after Aug 9 update. DO NOT REINSTALL or you will lose all progress. Go to Awem games site and enter a help ticket.  They are working on the bug.  I have loved this game and played for more than a year. I hope there is a fix soon.,game,51
5.0 out of 5 stars,Great game with a lot of variety!,"Fun and addictive.  Takes lots of patience to advance in certain areas like the ship or finishing collections without spending money but if you stick to it you can.  Great game for logical thinkers and gets harder as you advance.  My tips would be to watch for patterns as items fall when making moves, think at least 2 steps ahead and do not automatically make the move they suggest because it is not the best move.  Have fun!",game,78
5.0 out of 5 stars,"WOW, I CAN'T STOP!!!","I am totally addicted to this game. I have played many match 3 games, but this is by far the most challenging and intriguing. Still working on speed for the timed boards. Really don't know how to get past the whole blitz mode so that's a little frustrating. But I will Not give up! Looking forward to many, MANY more hours of fun. Not much sleep, but lots of fun.",game,70
3.0 out of 5 stars,Great at the beginning but leads to frustration,"The game is beautiful and starts off easy enough but items needed to complete quest aren't granted even when all stars for level are earned. This is true for all collection items. If you want to advance you have to pay. After a while the thrill of earning and finding items leaves and the game becomes too dull. This is the second time I've installed game, played for a bit, removed game, and started over from the beginning. It's the only pleasurable part.",game,83
5.0 out of 5 stars,Great game,I'm really enjoying this game. I thought I would play it not like it and install it. Well I was very wrong. It's 1:22 in the morning and I think I've been playing it for over an hour. I plan on still playing it until at least 3 in the morning.Thank youCarrie reilly,game,53
3.0 out of 5 stars,Interesting puzzles but ....,"I enjoy the puzzles however moving up, opening new territory, and gaining bonuses are so difficult because it isn't clear how long it takes to get tokens  I've been playing for months and still haven't achieved many steps up.  Clearly built to encourage in April purchases but progress is so tedious it discourages them",game,54
4.0 out of 5 stars,Good game.,"I really like the game. Challenging and fun. Only two problems I can think of are: 1. Items sometimes take ten or more times searching for to find. 2. Yes, you get more energy when you level up, but the puzzles take more energy also, so you really do not get to do more.",game,54
3.0 out of 5 stars,Interesting But...,While the game can be interesting at times the most frustrating thing is how slow the progress in leveling up. Although I enjoy most puzzles I have a love hate relationship with night mode. I can not stand the spotlight you have to move around. I don't like how complicated and the number of moves it takes with the ropes etc. Time and Blitz Time puzzles need to be improved. Overall it remains an enjoyable play experience.,game,77
1.0 out of 5 stars,irritating pop-up,"I do not have Cradle of Empires on my Kindle, nor do I want to install it. I absolutely HATE its annoying pop-ups everytime I click on 'Start a new game' from my Solitaire app. Sometimes it takes 15-20 taps to get rid of it....just for that reason I'd never install it!",game,52
3.0 out of 5 stars,Has its good points,"I like the game hate the manipulation.  Most of what you need is found at a timed game.  Even using the dice to change the more it either doesn't change the one you want or changes it for one round only. It also seems like you can't win without spending money.  Like the ""deck"" is stacked against you, sometimes.  Other than that I really kind of enjoy it.",game,68
1.0 out of 5 stars,I am not happy with this issue.,"As of today 8/8/2018, I am still having problems with this app. I have contacted same about this and have received nothing. I just purchased a starter pack from Amazon for this game. I played a few games this morning, went to another screen and now I can't get into the app. This is the only app this is happening to. I go to the icon and click, it brings up same cover page for a few seconds and then goes black. I have lost all my activity and gems and lives for this game.",game,95
5.0 out of 5 stars,A winner in my book!!,"Upon INSTALLATION, I it found 5 viruses and plenty of residual trash files. It cleaned them up fast and allowed me to review what was cleaned or removed. Best part is, this app is lightweight, not all that extra nonsense you get with a lot of the others I've tried.",Lifestyle,50
5.0 out of 5 stars,Excellent app . Ignore negative reviews.,"This is without doubt the best app to monitor YOUR OWN webcams. It can of course connect to any public streaming webcam but that is just a bi-product of having such a flexible app.In order to use it successfully so you can view from within your home or from anywhere outside your home when you are connected to data or wifi you need.....1 - a webcam (or webcams) connection to your own network (lan or wifi connected)2 - set up port forwarding on your home router3 - either pay your internet provider for a fixed IP address for your home network OR subscribe to a free DNS service  (like noip.com)Then load this app, or the free version, and put in your webcam parameters. Don't forget to put the app on your android phone also.It's not difficult - jfgi!",Lifestyle,138
3.0 out of 5 stars,It's ok...,"I installed this because my fire was running kinda funky. It is the 3rd app I have tried and this one is the best so far. I did have to pay $4.44 for the cleaning side of the app. My fire runs much better but I have run 2 scans so far and each time there is 8 virus files I click to see what they are, it will not show me but says clean garbage, I do so and it says it is clean. I give 3 stars because I am still unsure it is finding and getting rid of viruses.",Lifestyle,102
5.0 out of 5 stars,Pretty darn good camera app,Used tiny cam monitor free for maybe 1.5 months and was happy with it for monitoring my wifi camera- all Trendnet and one Foscam. The Free version worked fine for my needs except for the adds popping up. Like being able to have multiple cameras on one page. Decided to go to the Pro version to support the app- $4 is worth it and then there are no worries about accidentally hitting the app banner. Had all my cameras listed during set-up. It also allowed me to transfer the camera setup easily from the free version to the pro version. I have 2 pages of cameras and it is set up to stay on each page for 10 seconds before going to the 2nd page. You probably will want to remove all of the public cameras that come installed with the app.,Lifestyle,142
4.0 out of 5 stars,Kindle Fire File Cleaning,"Have cleaned my Kindle Fire Tablet numerous times per week since installing this software.  Results appear to be mixed, at times programs appear to run smoothly and other times there doesn't appear to be any changes.  When there are no noticeable changes some programs with won't run or they run slow.  Unknown if the problem is the Kindle Fire, software installed, internet or all of the above.",Lifestyle,67
5.0 out of 5 stars,Great software to view your IP cameras,"I started with the Free version then paid to get the Pro version, since it included sound (it was only two bucks then)It works great.  I have two Foscam wireless webcams and use this software on my Kindle Fire HD. I can easily view the cameras from inside my home network or any wireless connection outside my home.It opens quick, will show both cameras at once (or individually).  You can listen and talk through it (though talking is poor, likely due to wireless connection).It also enables a lot of the camera features like alarms and email/video recording.",Lifestyle,97
4.0 out of 5 stars,Full featured app with excellent support - wyze cam v2 on firestick,Still trying to iron somethings out though so defaulting to sideloaded wyze app just to be honest. I’m getting trails on moving objects but when I email support for help they get back very quick. Trying some suggestions from them and will report back. I’d give it a try. I had to buy a bluetooth mouse to get the wyze app sideloaded and it’s not perfect either. It maybe integration with wyze so if you have other cameras default settings may work out of the box. Bluetooth mouse cost me $23. App is much cheaper.,Lifestyle,95
5.0 out of 5 stars,Senior,"I like this product because it is easy to use.  I am a senior and I appreciate a product that doesn't require a lot of tectie know how. I installed the product, read the information and ""puff"" it's working. Thank you for a great product that works, is easy to install and remembering us seniors.",Lifestyle,55
2.0 out of 5 stars,Needs more features,Wish I could be given a list of the files and viruses being removed. I have a virus detector installed on my tablet but it did not catch the viruses this app said were on my device. And I guess I will need to run this every time I use my device because there is no automatic scan setting available.,Lifestyle,60
3.0 out of 5 stars,Never fully clean??,"I ran the cleaner and it showed 15 MB to be cleaned. Then my finger misfired and instead of heading here to offer a 5 Star rating, I ended up re-cleaning my Fire Tablet to access the button- link to come to the Appstore. Surprise surprise surprise it now showed 58 MB to be cleaned!! But I had just cleaned all the suggested 15 MB and now within seconds there is more! I repeated this process 8 more times, each time new amounts of MB were to be cleaned. Is this a never end and non-diminishing problem?",Lifestyle,97
5.0 out of 5 stars,Keeps my Kindle 10 in. Tablet running smooth!,"I have been running this app for 18 months. My tablet was not loading photos, so I ran the scan, removed the trash, and my tablet was runnI haing fine again! No other issues since installation. I like how simple and fast it is!  I have been playing for a long time. I usually buy the extra dash at 1.99 and overnight it has gone up to 13.99. Seems a little steep!",Lifestyle,72
4.0 out of 5 stars,Better Results,"CCleaner doesn't appear to accomplish anything wirh my Fire 8, but does appear to work on my older 2nd Gen Fire 10.  Speed Booster's graphics state it's ""freed up"" space, but it's ""result"" is suspiciously repetitious.  This app seems more honest, in both posted result and Fire performance, than the others. Slightly faster and smoother performance.",Lifestyle,56
3.0 out of 5 stars,It's ok...,"I installed this because my fire was running kinda funky. It is the 3rd app I have tried and this one is the best so far. I did have to pay $4.44 for the cleaning side of the app. My fire runs much better but I have run 2 scans so far and each time there is 8 virus files I click to see what they are, it will not show me but says clean garbage, I do so and it says it is clean. I give 3 stars because I am still unsure it is finding and getting rid of viruses.",Lifestyle,102
5.0 out of 5 stars,Very helpful,We use this as a baby monitor and it works great! I love that we can access from any phone or computer. On occasion we'll use it to monitor the house when my oldest daughter is babysitting. I love that we scan the house at different angles. It's like we're still there.,Lifestyle,52
4.0 out of 5 stars,Anti virus & Kindle Cleaner App,This is by far the best file & virus cleaner I have yet to find for my Amazon Kindle. The one thing that I didn't like is when you first download the app it tells you that it's free. Which couldn't be further from the truth because it will let you run the program & it'll tell you what's on your Kindle that needs to be removed. But when you go to download the virus remover it tells you that you must pay $3.99 which is fine because of how good the app work's. I just find it a bit misleading that it tells you it's free & then hits you w/ a $3.99 charge.,Lifestyle,115
5.0 out of 5 stars,"Keep an eye on your property from your phone, tablet and computer!",Best app Ever! I use this app all the time to watch my car and my patio door. It records images and sends them to my email. View live and it's only a spit sec. difference in time. Control your camera right from the app. We plan to add more cameras.,Lifestyle,51
5.0 out of 5 stars,"works great, easy to set up.","I bought this to use as a baby monitor on my kindle fire HD with my foscam 8910W cameras. The app has a camera scanner so it can get most of the details for set up on its own. Once I figured out the difficult part of port forwarding using a YouTube video or two, I'm now able to view my cameras from anywhere and I bought the app for my Android phone.Best features: control camera movement, movement and sound alarms, and viewing more than one camera at a time.",Lifestyle,90
4.0 out of 5 stars,Recommended Update,The two older TRENDNET cameras we have (TV-IP 512WN) works great on the home network and via Inernet.  We purchased two additional TRENDNET cameras (TV-IP 751WIC and TV-IP 851WIC) that are not currently supported.  We were able to use the TV-IP 551WI setting with encrypted password to view both cameras on the home network but can't view via Internet.  Would like to see support on these cameras on the next update.,Lifestyle,71
5.0 out of 5 stars,The interface is clean and easy to navigate,"I've tried several apps before finally deciding to use this app as my go-to app for my Foscam cameras. Camera set up is intuitive and straight forward. The interface is clean and easy to navigate. Easy to activate/deactivate the speaker/microphone on the camera as well as record video. Thanks tinyCam for a job well done. There were just way too many other apps, or few apps that do what you can in an easy user-friendly way.",Lifestyle,76
1.0 out of 5 stars,If you are not a techie - stay away from these apps.,"So confusing to use, I have 3 cameras on one NVR box, but it would only allow me to view one of the cameras from the box. Luckily I’ve got a monitor connected via HDMI to the NVR box so I’m not particularly fussed, but they really need to make these apps a bit simplistic.",Lifestyle,55
4.0 out of 5 stars,Seems to do it,It goes away for a while and seems to do what it is supposed to do.  Hard to tell. Tablet seems to run faster.  Very strange that none of the other virus checkers find anything but this one always does.  Also the fact that you have to rate it in order to get more features makes me wonder.  Will give it the benefit of the doubt for now and keep using it.,Lifestyle,72
5.0 out of 5 stars,baby monitor,"My family absolutely loves this camera.  We use it as a baby monitor and couldn't be happier.  The sound is very clear and picks up the faintest of sounds. My husband put it together so I'm not sure how easy that was but the general use is very easy.  The nightvision is very clear, you can even make out the pattern on her bed sheets ando pajamas. Highly recommend.",Lifestyle,69
1.0 out of 5 stars,"False Advertising, No Proof of changes","Product says it is a FREE OPTIMIZER & CLEANER - it is not. It does a free scan and THEN you have to pay (IN THE APP) to get the optimizer and cleaner. I was a fool and used my coins to continue... and I cannot return & refund. This is bait & switch. If people bought it through the site/store, they could get a refund when they see the app does nothing. But if you use coins, you are now stuck with a brick they claim fixed your kindle - but since it does not provide any information on what it did, you have no way of knowing.As a matter of fact, when I used my kindle to research how to get my coins back - it felt slower than ever. And please do not insult me with your generic blurb on how it removes hidden data and all that.",Lifestyle,151
1.0 out of 5 stars,Painfully slow,"Has the potential to be good. Relatively easy to set up if you know the right info, but PAINFULLY SLOW. Other free apps out there that will do a better job. At first I though the CCTV feed had frozen, but coincidentally a car drove past the front of the house - it was either moving at crawling pace, or the app is unable to refresh fast enough.",Lifestyle,68
5.0 out of 5 stars,I love the many options including local recording,Automatically picked up and configured my Insteon HD Cam in just a couple taps. I love the many options including local recording. I'd been trying several IP camera apps since the Insteon app is terrible with the camera (no landscape full screen view for instance). None of the other apps were as simple to use or had as many features. I love the background audio mode as I plan on using an old tablet as a baby monitor.,Lifestyle,78
1.0 out of 5 stars,Scanner ONLY. You must but the cleaner.,This app is ONLY a scanner. You must purchase the actual cleaner. It runs a quick scan-but there's no way to tell how accurate it is w/o buying and running the associated cleaner. Very deceptive to call this a scanner AND cleaner. Even the description doesn't mention the reality of what this App is and isn't.,Lifestyle,56
4.0 out of 5 stars,Nice App and Good Customer Support,I've been using this product for a couple years now and just bought it again for my newest phones.  The people that support this product have been really responsive in the past to my questions.  I also like to see when a company continues to improve on their software with regular updates.  You see upgrades to the app every month or two.  It gives you a good feeling that the company is planning to be around for the long haul.,Lifestyle,80
1.0 out of 5 stars,Lies! Money Scam!,"This app starts out seeming great but after every scan, there are 8 viruses. (Just like everyone else said) andI just bought my fire hd 8, and I know there isn't any viruses let alone 8 and then you have to spend money to ""fix& it. DO NOT WASTE YOUR TIME",Lifestyle,51
4.0 out of 5 stars,it works well for what I need,"Just to watch my grandson when he is suppose to be taking a nap and I don't have the time or energy to run up and down the stairs to get him to lay down AGAIN and go to sleep, I can talk to him and convince him to do that for me.",Lifestyle,53
2.0 out of 5 stars,Hobbled by Amazon,"It won't work with android wear watches. Which is why I purchased it. The description says it works with android wear watches. However, I get a pop-up that there is a bug with Amazon DRM protection. I don't like to give this a low reading, since it isn't the developers fault (if purchased from Google Play Store, it evidently works without a hitch). However, it still does not work as advertised.",Lifestyle,71
3.0 out of 5 stars,May help but....,"Seems to help a bit, but it's hard to believe that I have three to five viruses each time that I cleaned my tablet. When I click the "" see"" title it won't show the files that are supposed to be infected. Also the promotional advertising for more of their own products are annoying.",Lifestyle,54
1.0 out of 5 stars,Locks up Kindle Fire!!!,"This app started locking up my Kindle Fire so bad I had to do a hard reset, plug/unplug the power cable, then do another hard reset again just to get my Kindle to unlock and come back on. After contacting the developer multiple times, I realised he just didn't care. I have two other relatives who had the same problem, so I know it isn't just my Kindle. Actually, I have three Kindles, so that's a total of FIVE so far it won't work on. This app is a total loss, renders my Kindle unusable, and the developer is one of the worst I've dealt with on Amazon. He won't even respond to my requests for help anymore. I finally had to uninstall this app and bought ""Ip cam viewer"" (full) and found no problems so far with that one. Take my advice, if you have a Kindle Fire, stay away from this app. I do have to add this, the app does work well on my Nexus 7 tablet, but it does NOT WORK ON KINDLE FIRE DEVICES. If you have another kind of tablet, it is a hit or miss, try the free version first. Better yet, if you have IP cameras and want to be able to choose from a list of good monitoring apps that work, don't buy a Kindle in the first place. Buy something else that will allow purchases from the Google Playstore. There is a better selection and most likely your device will be compatible with this app. Good luck.",Lifestyle,257
4.0 out of 5 stars,"Seems to work well, but ......","App appears to be working as advertised.  Finds both garbage and virus files and removes them.  However the quality of the user interface is so low that my confidence in the results is less than complete.  To be blunt, the user interface appears to be a joke.  It looks like something you would find on a game app for children.  It turns it turns me off something fierce.  It may just be me (probably is), but this shakes my confidence in the results and thus reduces the overall rating that I can give to the app.  Sorry, but I have to tell it like it is.",Lifestyle,106
1.0 out of 5 stars,DO NOT BUY THIS PIECE OF JUNK!!!,"I just paid for this app on my Fire TV Stick, and I'm extremely angry. When I run the app, it immediately freezes up and becomes unresponsive to inputs from the remote. Therefore, I cannot set up any cameras - in fact, I can't do ANYTHING except try to abort the app - which takes a long time to kill. So frustrating. What a piece of total garbage. I'm shocked that Amazon would even offer this app for sale. I will be attempting to get my money back. DO NOT BUY THIS!PS Aside from this tinyCam Monitor app annoyance, I'm really digging my new Fire TV Stick!",Lifestyle,107
2.0 out of 5 stars,Working only partially!,It seems like this is the best screen mirroring app available for Fire TV Stick. It works well screening my iPhone screen on Sony TV. You mirroring pictures on my phone. It can mirroring video file on my phone without sound. It does work when video within the app. Video within CNN or ESPN doesn’t play. This app is way below my expectations.,Lifestyle,63
4.0 out of 5 stars,No Problems!,"After using a popular cleaner, booster, virus scanning program for several years it occured to me that on three different tablets - and a zillion scans -not one virus had ever been detected. Upon noticing this application was designed for Kindle Fire tablets I thought I'd give it a go. On the first scan two viruses were found, cleaned, and eliminated. Today fourteen more were discovered! The process is lightning fast - no long wait. My Kindle Fire is working great.  Plus, I like the fact that this application is providing a higher level of protection for my tablet. There's a huge investment of money, time, and irreplaceable information on my tablet. It's foolish not to protect it.",Lifestyle,118
1.0 out of 5 stars,Freezes my Kindle Fire,"The latest version regularly freezes my kindle fire and requires a reboot.  This also happens on my wife's fire and my Motorola attic (not as bad on the attic).  I have the latest foscam camera from amazon, so I assume this is should be a common setup...  This is very frustrating and unacceptable.  Do not buy the app until they release a fix.",Lifestyle,63
5.0 out of 5 stars,The interface is clean and easy to navigate,"I've tried several apps before finally deciding to use this app as my go-to app for my Foscam cameras. Camera set up is intuitive and straight forward. The interface is clean and easy to navigate. Easy to activate/deactivate the speaker/microphone on the camera as well as record video. Thanks tinyCam for a job well done. There were just way too many other apps, or few apps that do what you can in an easy user-friendly way.",Lifestyle,76
5.0 out of 5 stars,Works so well I want to get more cameras!,"Works great with my 3 Foscam Wifi P/T cameras!I tried the free version to verify that it could connect and operate my cameras, and it worked great, so I upgraded to the paid version (easy setup with the convenient export/import feature - very well thought out). The PRO features are totally worth the price.FastThis app works easily and the control/response from the camera is much faster than the app I was using on my iPhone. There is a lot of extra functionality like motion/audio detection and auto-recording and uploading. My kids like to turn the motion alarm on, and see if they can ""Ninja"" past the kitchen cam undetected (worth $3 right there just for the sustained silence/giggles from them!).Works on Fire StickI hadn't even thought of trying this on the Fire TV Stick until I read a few reviews here. I was really happy to see that it worked pretty well (the navigation is a little challenging, but you get used to it), and I was glad that one purchase gets me an app on 2 devices! Knowing that this works nicely on the Fire Stick opens up a bunch of possibilities for monitoring.Works great on Kindle Fire HDI can view all 3 cams at once, see/hear the motion alarm go off when there is movement, easily record, and do all the things you could imagine you would want to do in a security cam app.The Kindle Fire I have doesn't have a mic, but I read that headphones w/mic might work, and was very happy to find that my iPhone headphones work w/the Kindle, and I can talk/listen over the cameras with 'reasonable' clarity! I had pretty much given up on being able to talk over the cams, as all the apps I had tried in the past would send such garbled sound, (worse than Charlie Brown's teachers...kids look it up) and I couldn't get any mobile/desktop app to work with the Foscam 9821W talk functionality. This is the first app that lets me talk to that cam, and it works great!SecurityIt is great that SSL and encrypted password features are available, and work well, allowing you to access/control your cameras externally, but securely.The software is well designed and seems to be updated pretty frequently, as you can see from the support site: http://tinycammonitor.com/changelog.htmlNit-picks:- I wish the default view would have the movement controls- The 'preset' functions don't work for me",Lifestyle,403
4.0 out of 5 stars,Better App than what I had......definitely!,"I already had 2 Apps downloaded to check for viruses and to clean system......BUT I DOWNLOADED THIS JUST TO SEE WHAT IT WAS LIKE AND IT FOUND , ALL KINDS OF JUNK AND 7 viruses!  I think I will keep this App and get rid of the other ones!!!  Angelblue :)",Lifestyle,51
5.0 out of 5 stars,Live tv on my amazon FireTV,"One thing to note: you MUST MUST have a Hauppage cordcutter tv. This app will NOT work without it. I read all the reviews here and I was sure it wasn't going to work. But it seems as though most people here download the app and expect live tv on their FireTV.No!!! You need to have the Hauppage cordcutter too.I followed the instruction on the Hauppage site and had live TV running on my FireTV box in about 5 minutes. The one thing this is missing is playing back recordings on my TV. I called their support people and they told me that this feature is coming soon. I will take them for their word but if it does not come soon, I'm going to drop one star.I picked up a Hauppage cordcutter tv at Best buy when it was on sale for $99",movie_and_tv,144
1.0 out of 5 stars,should have zero stars available,"App downloaded ok but upon trying to connect to my wireless router - like apparently many other folks - got stuck at 90% complete. Forced to do a hard power down of my firestick and on second try had same stupid result.  Looked on YouTube for advice but most videos don't directly address this problem, but many seem to be hawking a device which (supposedly) is needed or at least gives you a chance to use the app. Ridiculous and Amazon should boot this app out of their store.",movie_and_tv,89
